name,display_rank,rank,tied
Patrick Henry College,Unranked,-2,FALSE
Peirce College,Unranked,-2,FALSE
Peninsula College,Unranked,-2,FALSE
Pennsylvania Academy of the Fine Arts,Unranked,-2,FALSE
Pennsylvania College of Art & Design,Unranked,-2,FALSE
Pennsylvania State University -- Behrend,Unranked,-2,FALSE
Pennsylvania State University--Berks,Unranked,-2,FALSE
Pennsylvania State University--Harrisburg,Unranked,-2,FALSE
Pensacola State College,Unranked,-2,FALSE
Phillips School of Nursing at Mount Sinai Beth Israel,Unranked,-2,FALSE
Pittsburgh Technical College,Unranked,-2,FALSE
Platt College,Unranked,-2,FALSE
Plaza College,Unranked,-2,FALSE
Polk State College,Unranked,-2,FALSE
Pontifical Catholic University of Puerto Rico--Arecibo,Unranked,-2,FALSE
Pontifical College Josephinum,Unranked,-2,FALSE
Pratt Institute,Unranked,-2,FALSE
Provo College,Unranked,-2,FALSE
Pueblo Community College,Unranked,-2,FALSE
Puerto Rico Conservatory of Music,Unranked,-2,FALSE
Ranken Technical College,Unranked,-2,FALSE
Rasmussen University,Unranked,-2,FALSE
Red Rocks Community College,Unranked,-2,FALSE
Regent's American College London,Unranked,-2,FALSE
Renton Technical College,Unranked,-2,FALSE
Research College of Nursing,Unranked,-2,FALSE
Richmond American University London,Unranked,-2,FALSE
Ringling College of Art and Design,Unranked,-2,FALSE
Rio Hondo College,Unranked,-2,FALSE
Rose-Hulman Institute of Technology,Unranked,-2,FALSE
Roseman University of Health Sciences,Unranked,-2,FALSE
Sacred Heart Major Seminary,Unranked,-2,FALSE
Saint Anthony College of Nursing,Unranked,-2,FALSE
Saint Johns River State College,Unranked,-2,FALSE
Salish Kootenai College,Unranked,-2,FALSE
Samuel Merritt University,Unranked,-2,FALSE
San Diego Mesa College,Unranked,-2,FALSE
San Francisco Conservatory of Music,Unranked,-2,FALSE
San Joaquin Valley College--Visalia,Unranked,-2,FALSE
San Juan Bautista School of Medicine,Unranked,-2,FALSE
Santa Ana College,Unranked,-2,FALSE
Santa Fe College,Unranked,-2,FALSE
Santa Monica College,Unranked,-2,FALSE
Schoolcraft College,Unranked,-2,FALSE
School of the Art Institute of Chicago,Unranked,-2,FALSE
Seattle Central College,Unranked,-2,FALSE
Seminole State College of Florida,Unranked,-2,FALSE
Sentara College of Health Sciences,Unranked,-2,FALSE
Shasta College,Unranked,-2,FALSE
Sinte Gleska University,Unranked,-2,FALSE
Sitting Bull College,Unranked,-2,FALSE
Skagit Valley College,Unranked,-2,FALSE
Skyline College,Unranked,-2,FALSE
Solano Community College,Unranked,-2,FALSE
Southeast Missouri Hospital College of Nursing and Health Sciences,Unranked,-2,FALSE
Southern Baptist Theological Seminary,Unranked,-2,FALSE
Southern California Institute of Architecture,Unranked,-2,FALSE
Southern California University of Health Sciences,Unranked,-2,FALSE
South Florida State College,Unranked,-2,FALSE
South Seattle College,Unranked,-2,FALSE
South University-Tampa,Unranked,-2,FALSE
Southwestern Christian College,Unranked,-2,FALSE
Spokane Community College,Unranked,-2,FALSE
Spokane Falls Community College,Unranked,-2,FALSE
State College of Florida--Manatee-Sarasota,Unranked,-2,FALSE
St. Charles Borromeo Seminary,Unranked,-2,FALSE
St. Francis Medical Center College of Nursing,Unranked,-2,FALSE
St. John's College (IL),Unranked,-2,FALSE
St. John Vianney College Seminary,Unranked,-2,FALSE
St. Joseph Seminary College,Unranked,-2,FALSE
St Luke's College,Unranked,-2,FALSE
Stone Child College,Unranked,-2,FALSE
St. Petersburg College,Unranked,-2,FALSE
Stratford University,Unranked,-2,FALSE
Strayer University,Unranked,-2,FALSE
Sullivan University,Unranked,-2,FALSE
SUM Bible College and Theological Seminary,Unranked,-2,FALSE
SUNY Downstate Health Sciences University,Unranked,-2,FALSE
Tacoma Community College,Unranked,-2,FALSE
Tallahassee Community College,Unranked,-2,FALSE
Texas A&M University--San Antonio,Unranked,-2,FALSE
Texas Tech University Health Sciences Center-El Paso,Unranked,-2,FALSE
Texas Tech University Health Sciences Center-Lubbock,Unranked,-2,FALSE
Thomas Edison State University,Unranked,-2,FALSE
Thomas More College of Liberal Arts,Unranked,-2,FALSE
Touro University Nevada,Unranked,-2,FALSE
Trinity Bible College and Graduate School,Unranked,-2,FALSE
Trinity College of Nursing & Health Sciences,Unranked,-2,FALSE
Trocair College,Unranked,-2,FALSE
Truckee Meadows Community College,Unranked,-2,FALSE
Turtle Mountain Community College,Unranked,-2,FALSE
Tyler Junior College,Unranked,-2,FALSE
Union Institute and University,Unranked,-2,FALSE
United States International University--Kenya,Unranked,-2,FALSE
United States University,Unranked,-2,FALSE
United Tribes Technical College,Unranked,-2,FALSE
Unitek College,Unranked,-2,FALSE
Universidad Central Del Caribe,Unranked,-2,FALSE
University of Arkansas for Medical Sciences,Unranked,-2,FALSE
University of Cincinnati--UC Blue Ash College,Unranked,-2,FALSE
University of Hawaii--Maui College,Unranked,-2,FALSE
University of Health Sciences & Pharmacy in St. Louis,Unranked,-2,FALSE
"University of Maryland, Baltimore",Unranked,-2,FALSE
University of Nebraska Medical Center,Unranked,-2,FALSE
University of North Carolina School of the Arts,Unranked,-2,FALSE
University of Oklahoma Health Sciences Center,Unranked,-2,FALSE
University of Tennessee Health Sciences Center,Unranked,-2,FALSE
